name,total,lat,lng
대구보건고등학교건너,5107,35.85757,128.5744
대구보건고등학교앞,5143,35.85764,128.57416
대구보건대학3,7599,nan,nan
대구보건대학4,14198,nan,nan
대구보건대학건너1,1610,nan,nan
대구보건대학건너2,6545,nan,nan
대구보건대학앞1,1505,nan,nan
대구보건대학앞2,576,nan,nan
대구보훈요양원앞,7,35.88655,128.41015
대구비지니스센터건너,2283,35.83745,128.50743
대구비지니스센터앞,2768,35.83692,128.50717
대구삼성창조캠퍼스1,1695,35.88241,128.59525
대구삼성창조캠퍼스2,808,35.88276,128.59682
대구선방촌공원,1233,35.88083,128.66978
대구섬유박물관,4309,35.91907,128.64094
대구소방본부건너,245,35.87824,128.59295
대구소방본부앞,711,35.87782,128.59461
대구스타디움건너,438,35.83264,128.69144
대구스타디움앞,1745,35.83225,128.69139
대구시교육청건너,212,35.85676,128.61374
대구시교육청앞,2356,35.85788,128.61397
대구시설공단건너,7800,35.83817,128.56053
대구시설공단앞,7866,35.83833,128.5604
대구시설관리사업소,249,35.83484,128.48966
대구시지노인전문병원건너,279,35.82777,128.71044
대구시지노인전문병원앞,254,35.8283,128.70982
대구신문사,62,35.87566,128.6223
대구역건너,15009,35.87461,128.59751
대구역꽃시장,131,35.87679,128.59998
대구역북편네거리1,17742,35.87851,128.59546
대구역북편네거리2,4972,35.87846,128.59529
대구역서희스타힐스건너,328,35.8787,128.58967
대구역센트럴자이,1286,35.87538,128.58773
대구역앞,13951,35.87455,128.59775
대구우편집중국앞,1464,35.90982,128.61496
대구은행북비산지점건너1,6109,35.87791,128.57135
대구은행북비산지점건너2,719,35.87681,128.57133
대구은행북비산지점앞,13847,35.87814,128.57119
대구은행역(1번출구),14394,35.85998,128.61266
대구은행역(2번출구),20689,35.8597,128.61271
대구은행제2본점앞,13302,35.88393,128.58781
대구은행칠곡지점건너,4039,35.93568,128.54894
대구은행칠곡지점앞,6545,35.93648,128.54895
대구은행평리동지점건너,878,35.87892,128.55001
대구은행평리동지점앞,1654,35.87879,128.55068
대구의료원건너,3149,35.85875,128.54088
대구의료원라파엘웰빙센터,695,35.86002,128.53759
대구의료원라파엘웰빙센터건너,711,35.85979,128.53734
대구의료원앞,1588,35.85881,128.54064
대구일마이스터고교건너,1481,35.88096,128.64725
대구일마이스터고교앞,3440,35.88086,128.64751
대구전자공업고등학교1,7438,35.84732,128.53065
대구전자공업고등학교2,260,35.84788,128.53081
대구제일고등학교건너,14643,35.87219,128.57359
대구제일고등학교앞,8978,35.87196,128.57397
대구중앙중고등학교건너,8840,35.86808,128.61674
대구중앙중고등학교앞,11734,35.86787,128.61656
대구중앙중학교건너,764,35.86764,128.61514
대구중앙중학교앞,14,35.86701,128.61488
대구중학교건너,270,35.85103,128.60329
대구중학교앞,1053,35.85074,128.60349
대구지료재생사,80,35.8327,128.50006
대구지방경찰청,1284,35.82864,128.63356
대구지방기상청,401,35.87848,128.65494
대구지방법원등기국건너,2261,35.87898,128.63474
대구지방법원등기국앞,937,35.87887,128.63482
대구지방법원서부지원,207,35.85224,128.52718
대구차여성병원건너,3288,35.84069,128.57412
대구차여성병원앞,9698,35.84016,128.57529
대구칠곡초등학교건너,906,35.94574,128.55099
대구칠곡초등학교앞,1814,35.94622,128.55134
대구콘서트하우스건너,5895,35.87545,128.59263
대구콘서트하우스앞,12939,35.87564,128.59253
대구택시협동조합건너,249,35.86844,128.53518
대구택시협동조합앞,286,35.86867,128.53521
대구텍건너,160,35.79937,128.62339
대구텍앞,1604,35.79952,128.62356
대구학생수련관입구건너,26,35.97893,128.69932
대구한의대학교부속한방병원앞,888,35.83668,128.60698
대구해올중고교건너,1085,35.83948,128.55278
대구해올중고교앞,1378,35.8394,128.5529
대구향교건너,617,35.86027,128.59588
대구향교앞,656,35.86015,128.59577
대덕마을건너,301,35.82967,128.66809
대덕마을앞,41,35.82969,128.66915
대덕맨션앞,1920,35.83402,128.59655
대덕문화전당건너,403,35.83227,128.57593
대덕문화전당앞,18,35.83198,128.57718
대덕승마장건너,82,35.82351,128.55368
대덕천주교회1,239,35.83488,128.57013
대덕천주교회2,796,35.83491,128.57063
대덕천주교회3,650,35.83453,128.57138
